Company,HQ City,HQ State/Country,Annual Revenue,Industry,Score,Tier,Location Score,Financial Score,Partnership Score,Recency Score,Why Now,Target Persona,Known Partnerships,Triggering Article,Article Source,Article Date,Website,Stock Ticker
Delta Air Lines,Atlanta,GA,$55.7B,Aviation,75,Tier 2,0,25,30,20,"""Delta Unveils 'Delta x Design' Program — Co-Branded Collaborations with Artists and Designers"" (Fast Company) | Key signals: new leadership appointment in brand/marketing; growth mode / strategic expansion signal; active partnership or LTO program; proven collaboration track record (Porsche, various lifestyle brand tie-ins).",VP of Brand Collaboration,Porsche; various lifestyle brand tie-ins,Delta Unveils 'Delta x Design' Program — Co-Branded Collaborations with Artists and Designers,Fast Company,2026-05-22,https://www.delta.com,DAL
Procter & Gamble,Cincinnati,OH,$82.0B,Consumer Packaged Goods,70,Tier 2,25,25,20,0,Key signals: active partnership or LTO program; proven collaboration track record (various sports and entertainment sponsorships).,VP of Brand Partnerships / Chief Marketing Officer,various sports and entertainment sponsorships,,,,https://www.pg.com,PG
Alaska Airlines,Seattle,WA,$9.9B,Aviation,70,Tier 2,25,25,20,0,"Key signals: active partnership or LTO program; proven collaboration track record (Virgin America branding legacy, various artist livery programs).",VP of Marketing Partnerships / Head of Brand Experience,Virgin America branding legacy; various artist livery programs,,,,https://www.alaskaair.com,ALK
Best Buy,Richfield,MN,$43.5B,Consumer Electronics Retail,60,Tier 2,15,25,20,0,"Key signals: active partnership or LTO program; proven collaboration track record (Apple, Samsung).",Head of Global Partnerships / Design Partnership Team,Apple; Samsung; various exclusive drops,,,,https://www.bestbuy.com,BBY
Patagonia,Ventura,CA,$1.5B,Outdoor Apparel,60,Tier 2,15,25,20,0,"Key signals: active partnership or LTO program; proven collaboration track record (various environmental NGOs, film collaborations).",VP of Brand Collaboration / Creative Director,various environmental NGOs; film collaborations,,,,https://www.patagonia.com,
Duluth Trading Company,Belleville,WI,$660M,Workwear / Lifestyle Retail,60,Tier 2,15,15,15,15,"""H-E-B Announces Record Revenue and Expands Into Brand Lifestyle Strategy"" (Austin American-Statesman) | Key signals: growth mode / strategic expansion signal; active partnership or LTO program.",Head of Global Partnerships / Design Partnership Team,,Starbucks Q2 Earnings: CEO Signals 'Cultural Partnership Renaissance' in Strategy Refresh,Bloomberg,2026-05-25,https://www.duluthtrading.com,DLTH
Spotify,Stockholm,Sweden,$14.0B,Music Streaming / Tech,55,Watch List,10,25,20,0,"Key signals: active partnership or LTO program; proven collaboration track record (Coca-Cola, Starbucks).",Head of Cultural Partnerships / VP of Brand Experience,Coca-Cola; Starbucks; various artist merch drops,,,,https://www.spotify.com,SPOT
Cargill,Minneapolis,MN,$165.0B,Agriculture / Food Processing,50,Watch List,25,25,0,0,Company meets baseline financial and geographic criteria.,VP of Brand Collaboration / Creative Director of LTOs,,,,,https://www.cargill.com,
Camping World,Lincolnshire,IL,$7.2B,Outdoor / RV Retail,40,Watch List,15,25,0,0,Company meets baseline financial and geographic criteria.,Head of Global Partnerships / Design Partnership Team,,,,,https://www.campingworld.com,CWH
Chewy,Dania Beach,FL,$11.8B,Pet Retail / E-commerce,40,Watch List,15,25,0,0,Company meets baseline financial and geographic criteria.,Head of Global Partnerships / Design Partnership Team,,,,,https://www.chewy.com,CHWY
